rank	title	author_name	year	n_citation
53	Combinatorial optimization: algorithms and complexity	Christos H. Papadimitriou	1982	8842
54	A relational model of data for large shared data banks	E. F. Codd	1970	7295
55	Highly dynamic Destination-Sequenced Distance-Vector routing (DSDV) for mobile computers	Charles E. Perkins	1994	6895
56	Electronic markets and electronic hierarchies	Thomas W. Malone	1987	4334
57	A scalable content-addressable network	Sylvia Ratnasamy	2001	9816
58	Directed diffusion: a scalable and robust communication paradigm for sensor networks	Chalermek Intanagonwiwat	2000	7674
59	Compressed sensing	David L. Donoho	2006	20915
60	Energy-efficient communication protocol for wireless microsensor networks	Wendi Rabiner Heinzelman	2000	16309
61	Scale-space and edge detection using anisotropic diffusion	Pietro Perona	1990	13282
62	An Algorithm for Suffix Stripping.	Martin Porter	1980	3084
63	A method for registration of 3-D shapes	Paul J. Besl	1992	15717
64	Genetic programming: on the programming of computers by means of natural selection	John R. Koza	1992	15096
65	Authoritative sources in a hyperlinked environment	Jon M. Kleinberg	1999	11109
66	Random Forests	Leo Breiman	2001	28679
67	Outline of a New Approach to the Analysis of Complex Systems and Decision Processes	Lotfi A. Zadeh	1973	11656
68	Statistical mechanics of complex networks	Réka Albert	2001	20075
69	A decision-theoretic generalization of on-line learning and an application to boosting	Yoav Freund	1995	14159
70	The active badge location system	Roy Want	1992	5246
71	The MD4 Message Digest Algorithm	Ronald L. Rivest	1992	5824
72	Determining optical flow	Berthold K. P. Horn	1980	10193
73	Histograms of oriented gradients for human detection	Navneet Dalal	2005	22795
74	A public key cryptosystem and a signature scheme based on discrete logarithms	Taher Elgamal	1985	9064
75	An iterative image registration technique with an application to stereo vision	Bruce D. Lucas	1981	12787
76	Identification and control of dynamical systems using neural networks	Kumpati S. Narendra	1990	8851
77	The SWISS-PROT protein sequence database and its supplement TrEMBL in 2000	Amos Marc Bairoch	2000	2419
78	Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data	John D. Lafferty	2001	11274
79	A Machine-Oriented Logic Based on the Resolution Principle	John A. Robinson	1965	4013
80	Performance analysis of the IEEE 802.11 distributed coordination function	Giuseppe Bianchi	2000	8914
81	Pastry: Scalable, Decentralized Object Location, and Routing for Large-Scale Peer-to-Peer Systems	Antony I. T. Rowstron	2001	10467
82	Coordination of groups of mobile autonomous agents using nearest neighbor rules	Ali Jadbabaie	2003	6531
83	Differential Evolution – A Simple and Efficient Heuristic for Global Optimization over Continuous Spaces	Rainer Storn	1997	4063
84	Textural Features for Image Classification	Robert M. Haralick	1973	17334
85	The Unified Modeling Language user guide	Grady Booch	1999	11893
86	Communication and concurrency	Robin Milner	1989	11519
87	Tabu Search—Part II	Fred Glover	1989	7149
88	Smalltalk-80: the language and its implementation	Adele Goldberg	1983	5068
89	Finding Structure in Time	Jeffrey L. Elman	1990	8864
90	Development of an Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Gary C. Moore	1991	8466
91	Pattern Recognition and Neural Networks	B. D. Ripley	1995	7207
92	On ordered weighted averaging aggregation operators in multicriteria decisionmaking	Ronald R. Yager	1988	6089
93	The Structure and Function of Complex Networks	M. E. J. Newman	2003	17184
94	Building a large annotated corpus of English: the penn treebank	Mitchell P. Marcus	1993	6515
95	Secure spread spectrum watermarking for multimedia	Ingemar J. Cox	1997	7697
96	Rapid object detection using a boosted cascade of simple features	Paul A. Viola	2001	16578
97	Term-weighting approaches in automatic text retrieval	Gerard Salton	1988	9374
98	Nearest neighbor pattern classification	Thomas M. Cover	1967	8713
99	Xen and the art of virtualization	Paul Barham	2003	8547
100	An axiomatic basis for computer programming	C. A. R. Hoare	1969	4806
101	Integer and combinatorial optimization	George L. Nemhauser	1988	9414
102	The Business Process Execution Language for Web Services	Rania Khalaf	2005	3002
103	GPSR: greedy perimeter stateless routing for wireless networks	Brad Karp	2000	8821
104	Christopher D. Manning and Hinrich Schutze. Foundations of Statistical Natural Language Processing . MIT Press, 2000. ISBN 0-262-13360-1. 620 pp. $64.95/£44.95 (cloth).	Advaith Siddharthan	2002	10349
105	Wireless sensor networks: a survey	Ian F. Akyildiz	2002	17979
106	Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information	Emmanuel J. Candès	2006	12168
107	User cooperation diversity. Part I. System description	Andrew Sendonaris	2003	7379
108	Approximation by superpositions of a sigmoidal function	George Cybenko	1989	9382
109	Information Systems Success: The Quest for the Dependent Variable	William H. DeLone	1992	11128
110	Maintaining knowledge about temporal intervals	James F. Allen	1983	8643
111	Ant system: optimization by a colony of cooperating agents	Marco Dorigo	1996	12425
112	Network flows: theory, algorithms, and applications	Ravindra K. Ahuja	1993	11120
113	Automatic text processing: the transformation, analysis, and retrieval of information by computer	Gerard Salton	1989	1500
114	Learning to Predict by the Methods of Temporal Differences	Richard S. Sutton	1988	4863
115	A fast and elitist multiobjective genetic algorithm: NSGA-II	Kalyanmoy Deb	2002	24245
116	Space-time block codes from orthogonal designs	Vahid Tarokh	1999	8595
117	Experiments with a New Boosting Algorithm	Yoav Freund	1996	8121
118	The Cricket location-support system	Nissanka Bodhi Priyantha	2000	4916
119	A COMBINED CORNER AND EDGE DETECTOR	Chris J. Harris	1988	14323
120	Active shape models—their training and application	Timothy F. Cootes	1995	7791
121	Paper: Modeling by shortest data description	Jorma Rissanen	1978	1833
122	Data clustering: a review	A.K. Jain	1999	13350
123	Survey Constrained model predictive control: Stability and optimality	David Q. Mayne	2000	8687
124	Understanding Computers and Cognition: A New Foundation for Design	Terry Winograd	1987	8118
125	Statecharts: A visual formalism for complex systems	David Harel	1987	9515
126	Channel coding with multilevel/phase signals	Gottfried Ungerboeck	1982	5396
127	Consensus problems in networks of agents with switching topology and time-delays	Reza Olfati-Saber	2004	7737
128	Next century challenges: scalable coordination in sensor networks	Deborah Estrin	1999	3957
129	GroupLens: an open architecture for collaborative filtering of netnews	Paul Resnick	1994	5709
130	Nonlinear component analysis as a kernel eigenvalue problem	Bernhard Schölkopf	1998	7201
131	Random early detection gateways for congestion avoidance	Sally Floyd	1993	10317
132	Object-oriented modeling and design	James E. Rumbaugh	1991	7954
133	Empirical analysis of predictive algorithms for collaborative filtering	John S. Breese	1998	3080
134	Network information flow	Rudolf Ahlswede	2000	8652
135	System architecture directions for networked sensors	Jason L. Hill	2000	4837
136	On power-law relationships of the Internet topology	Michalis Faloutsos	1999	6160
137	An energy-efficient MAC protocol for wireless sensor networks	Wei Ye	2002	6474
138	User acceptance of information technology: toward a unified view	Viswanath Venkatesh	2003	17865
139	Role-based access control models	Ravi S. Sandhu	1996	8181
140	On the self-similar nature of Ethernet traffic (extended version)	Will E. Leland	1994	5525
141	A Calculus of Communicating Systems	Robin Milner	1982	5990
142	Social information filtering: algorithms for automating “word of mouth”	Upendra Shardanand	1995	4041
143	A generalized processor sharing approach to flow control in integrated services networks: the multiple node case	Abhay Parekh	1993	4228
144	Fast learning in networks of locally-tuned processing units	John E. Moody	1989	1203
145	Scale-space filtering	Andrew P. Witkin	1983	3926
146	Understanding Information Technology Usage: A Test of Competing Models	Shirley Taylor	1995	2879
147	Bowling alone: the collapse and revival of American community	Robert D. Putnam	2000	34288
148	The mathematics of statistical machine translation: parameter estimation	Peter F. Brown	1993	2828
149	Fuzzy sets and fuzzy logic: theory and applications	George J. Klir	1994	1911
150	Globus: a Metacomputing Infrastructure Toolkit	Ian T. Foster	1997	4493
151	Computer graphics	Donald W. Hearn	1986	5118
152	An Intrusion-Detection Model	Dorothy E. Denning	1987	4008
153	Analysis and simulation of a fair queueing algorithm	Alan J. Demers	1989	3298
154	Authoritative sources in a hyperlinked environment	Jon M. Kleinberg	1998	11411
155	The particle swarm - explosion, stability, and convergence in a multidimensional complex space	Maurice Clerc	2002	10695
156	Principles of artificial intelligence	Nils J. Nilsson	1980	5001
157	Wireless sensor networks for habitat monitoring	Alan Mainwaring	2002	5241
158	KEGG: Kyoto Encyclopedia of Genes and Genomes	Minoru Kanehisa	1999	9102
159	The wavelet transform, time-frequency localization and signal analysis	Ingrid Daubechies	1990	4091
160	Tangible bits: towards seamless interfaces between people, bits and atoms	Hiroshi Ishii	1997	4440
161	A global optimisation method for robust affine registration of brain images	Mark Jenkinson	2001	4075
162	Biological Sequence Analysis: Probabilistic Models of Proteins and Nucleic Acids	Richard Durbin	1998	6506
163	Introduction to VLSI Systems	Carver A. Mead	1979	3265
164	The Google file system	Sanjay Ghemawat	2003	7417
165	A new polynomial-time algorithm for linear programming	Narendra Karmarkar	1984	5490
166	Automatic verification of finite-state concurrent systems using temporal logic specifications	Edmund M. Clarke	1986	4073
167	Embedded image coding using zerotrees of wavelet coefficients	Jerome M. Shapiro	1993	9091
168	Chord: A scalable peer-to-peer lookup service for internet applications	Ion Stoica	2001	16337
169	An Effective Heuristic Algorithm for the Traveling-Salesman Problem	S. H. Lin	1973	3778
170	Noiseless coding of correlated information sources	David Slepian	1973	5167
171	Multidimensional binary search trees used for associative searching	Jon Louis Bentley	1975	3249
172	Robust real-time face detection	Paul A. Viola	2001	16115
173	Abstract interpretation: a unified lattice model for static analysis of programs by construction or approximation of fixpoints	Patrick Cousot	1977	6704
174	Object recognition from local scale-invariant features	David G. Lowe	1999	15203
175	Thumbs up? Sentiment Classification using Machine Learning Techniques	Bo Pang	2002	7220
176	A review of current routing protocols for ad hoc mobile wireless networks	Elizabeth M. Royer	1999	5623
177	Optimal decoding of linear codes for minimizing symbol error rate (Corresp.)	Lalit R. Bahl	1974	7319
178	Model checking	Edmund M. Clarke	2001	13026
179	The design and analysis of spatial data structures	Hanan Samet	1990	3773
180	Compliance and Force Control for Computer Controlled Manipulators	Matthew T. Mason	1981	1800
181	MACAW: a media access protocol for wireless LAN's	Vaduvur Bharghavan	1994	2938
182	Error bounds for convolutional codes and an asymptotically optimum decoding algorithm	Andrew J. Viterbi	1967	7039
183	The measurement of user information satisfaction	Blake Ives	1983	2417
184	ANFIS: adaptive-network-based fuzzy inference system	Jyh-Shing Roger Jang	1993	12693
185	A versatile camera calibration technique for high-accuracy 3D machine vision metrology using off-the-shelf TV cameras and lenses	Roger Y. Tsai	1987	1620
186	A Decision-Theoretic Generalization of On-Line Learning and an Application to Boosting	Yoav Freund	1997	8311
187	A highly adaptive distributed routing algorithm for mobile wireless networks	Vincent Park	1997	954
188	A Complexity Measure	Thomas J. Mccabe	1976	1821
189	Visual learning and recognition of 3-D objects from appearance	Hiroshi Murase	1995	2736
190	Distributed space-time-coded protocols for exploiting cooperative diversity in wireless networks	J.N. Laneman	2003	4579
191	Matching pursuits with time-frequency dictionaries	S. Mallat	1993	8960
192	Implementing remote procedure calls	Andrew Birrell	1984	2838
193	Identity-Based Encryption from the Weil Pairing	Dan Boneh	2003	5126
194	The media equation: how people treat computers, television, and new media like real people and places	Byron Reeves	1996	3716
195	Differential power analysis	Paul C. Kocher	1999	7091
196	Wireless integrated network sensors	Gregory J. Pottie	2000	2919
197	On the approximate realization of continuous mappings by neural networks	Ken-ichi Funahashi	1989	2720
198	A model of saliency-based visual attention for rapid scene analysis	Laurent Itti	1998	9453
199	The Java Language Specification	James A. Gosling	1996	6569
200	Capacity theorems for the relay channel	Thomas M. Cover	1979	4544
201	Flocks, herds and schools: A distributed behavioral model	Craig W. Reynolds	1987	7530
202	The Anatomy of the Grid: Enabling Scalable Virtual Organizations	Ian T. Foster	2001	11567
203	Concurrency control and recovery in database systems	Philip A. Bernstein	1987	6178
204	Wrappers for feature subset selection	Ron Kohavi	1997	6470
205	Iterative Methods for Sparse Linear Systems	Yousef Saad	2003	13104
206	A stochastic parts program and noun phrase parser for unrestricted text	Kenneth Ward Church	1989	1281
207	Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories	Svetlana Lazebnik	2006	7021
208	Adaptive mixtures of local experts	Robert A. Jacobs	1991	3703
209	The notions of consistency and predicate locks in a database system	Kapali P. Eswaran	1976	2483
210	Making Friends in Cyberspace	Malcolm R. Parks	1996	284
211	On Spectral Clustering: Analysis and an algorithm	Andrew Y. Ng	2002	6571
212	Mobility increases the capacity of ad hoc wireless networks	Matthias Grossglauser	2002	3474
213	The SWISS-PROT protein knowledgebase and its supplement TrEMBL in 2003	Brigitte Boeckmann	2003	3258
214	Wide area traffic: the failure of Poisson modeling	Vern Paxson	1995	5209
215	The String-to-String Correction Problem	Robert A. Wagner	1974	2240
216	Consistency in Networks of Relations	Alan K. Mackworth	1975	3471
217	Notes on Data Base Operating Systems	Jim Gray	1978	2727
218	Mining sequential patterns	Rakesh Agrawal	1995	6754
219	Mean shift: a robust approach toward feature space analysis	Dorin Comaniciu	2002	10721
220	Mitigating routing misbehavior in mobile ad hoc networks	Sergio Marti	2000	4474
221	Principles of Mobile Communication	Gordon L. Stüber	1996	3471
222	Semidefinite programming	Lieven Vandenberghe	1996	4154
223	Adaptive background mixture models for real-time tracking	Chris Stauffer	1999	8372
224	The Sequence Alignment/Map format and SAMtools	Heng Li	2009	12014
225	Visual reconstruction	Andrew Blake	1987	2652
226	BIRCH: an efficient data clustering method for very large databases	Tian Zhang	1996	5029
227	Swarm intelligence: from natural to artificial systems	Eric Bonabeau	1999	6819
228	Identity-based cryptosystems and signature schemes	Adi Shamir	1985	2200
229	Detection of signals by information theoretic criteria	Mati Wax	1985	3452
230	Cognitive radio: making software radios more personal	Joseph Mitola	1999	8913
231	Finite automata and their decision problems	Michael O. Rabin	1959	1904
232	Using collaborative filtering to weave an information tapestry	David E. Goldberg	1992	4336
233	Neural network-based face detection	Henry A. Rowley	1998	5103
234	Predicting User Intentions: Comparing the Technology Acceptance Model with the Theory of Planned Behavior	Kieran Mathieson	1991	2267
235	Bleu: a Method for Automatic Evaluation of Machine Translation	Kishore Papineni	2002	6578
236	Feature extraction from faces using deformable templates	Alan L. Yuille	1989	2624
237	The Benefits of Facebook ''Friends:'' Social Capital and College Students' Use of Online Social Network Sites	Nicole B. Ellison	2007	9414
238	Backpropagation applied to handwritten zip code recognition	Yann LeCun	1989	2357
239	Open, Closed, and Mixed Networks of Queues with Different Classes of Customers	Forest Baskett	1975	2075
240	GPS-less low-cost outdoor localization for very small devices	Nirupama Bulusu	2000	4554
241	A new, fast, and efficient image codec based on set partitioning in hierarchical trees	Amir Said	1996	7745
242	Validating instruments in MIS research	Detmar W. Straub	1989	2211
243	Random oracles are practical: a paradigm for designing efficient protocols	Mihir Bellare	1993	4717
244	Fast Pattern Matching in Strings	Donald E. Knuth	1977	3457
245	Using encryption for authentication in large networks of computers	Roger M. Needham	1978	3259
246	Formal languages and their relation to automata	John E. Hopcroft	1969	2318
247	De-noising by soft-thresholding	David L. Donoho	1995	10392
248	Managing the software process	Watts S. Humphrey	1989	3060
249	ImageNet Classification with Deep Convolutional Neural Networks	Alex Krizhevsky	2012	22884
250	Dynamic fine-grained localization in Ad-Hoc networks of sensors	Andreas Savvides	2001	3487
251	Linear logic	Jean-Yves Girard	1987	4627
252	A digital watermark	R.G. Van Schyndel	1994	1832
253	A universal algorithm for sequential data compression	Jacob Ziv	1977	6001
254	The QBIC Project : Querying Images by Content Using Color, Texture, and Shape	Carlton W. Niblack	1993	2175
255	The Byzantine Generals Problem	Leslie Lamport	1982	4736
256	A density-based algorithm for discovering clusters in large spatial databases with noise	Martin Ester	1996	10429
257	A learning algorithm for continually running fully recurrent neural networks	Ronald J. Williams	1989	781
258	A field study of the software design process for large systems	Bill Curtis	1988	1818
259	On combining classifiers	Josef Kittler	1998	5767
260	Algorithms for Non-negative Matrix Factorization	Daniel D. Lee	2001	5864
261	Impossibility of distributed consensus with one faulty process	Michael J. Fischer	1985	4396
262	Shape matching and object recognition using shape contexts	Serge J. Belongie	2002	6365
263	Condor-a hunter of idle workstations	Michael J. Litzkow	1988	3167
264	Gene Selection for Cancer Classification using Support Vector Machines	Isabelle Guyon	2002	5745
265	Branch-and-Bound Methods: A Survey	Eugene L. Lawler	1966	1560
266	Face recognition: features versus templates	Roberto Brunelli	1993	3532
267	An Algorithm for Finding Best Matches in Logarithmic Expected Time	Jerome H. Friedman	1977	3027
268	A theory of type polymorphism in programming	Robin Milner	1978	2379
269	Location systems for ubiquitous computing	Jeffrey Hightower	2001	4306
270	Snort - Lightweight Intrusion Detection for Networks	Martin Roesch	1999	1846
271	An improved illumination model for shaded display	Turner Whitted	1980	1637
272	Toward principles for the design of ontologies used for knowledge sharing	Thomas R. Gruber	1995	9888
273	A Bayesian Method for the Induction of Probabilistic Networks from Data	Gregory F. Cooper	1992	3610
274	Relevance weighting of search terms	Stephen Robertson	1976	2590
275	Near-Optimal Signal Recovery From Random Projections: Universal Encoding Strategies?	Emmanuel J. Candès	2006	6141
276	The knowledge complexity of interactive proof systems	Shafi Goldwasser	1989	3338
277	Learning Bayesian Networks: The Combination of Knowledge and Statistical Data	David Heckerman	1995	4089
278	Scatter/Gather: a cluster-based approach to browsing large document collections	Douglass R. Cutting	1992	2271
279	Thumbs Up or Thumbs Down? Semantic Orientation Applied to Unsupervised Classification of Reviews	Peter D. Turney	2002	4554
280	Passive dynamic walking	Tad McGeer	1990	3824
281	TAG: a Tiny AGgregation service for Ad-Hoc sensor networks	Samuel Madden	2002	3890
282	Probabilistic latent semantic indexing	Thomas Hofmann	1999	4885
283	A maximum entropy approach to natural language processing	Adam L. Berger	1996	3942
284	Mining frequent patterns without candidate generation	Jiawei Han	2000	7779
285	Neural networks and the bias/variance dilemma	Stuart Geman	1992	3423
286	A Comparative Study on Feature Selection in Text Categorization	Yiming Yang	1997	6181
287	Beyond the chalkboard: computer support for collaboration and problem solving in meetings	Mark Stefik	1987	1430
288	Error control coding : fundamentals and applications	Shu Lin	1983	7338
289	Overview of the H.264/AVC video coding standard	Thomas Wiegand	2003	8856
290	A Formal Basis for the Heuristic Determination of Minimum Cost Paths	Peter E. Hart	1968	5321
291	Component software: beyond object-oriented programming	Clemens A. Szyperski	1998	2148
292	A framework for uplink power control in cellular radio systems	Roy D. Yates	1995	2500
293	Parameter Selection in Particle Swarm Optimization	Yuhui Shi	1998	3765
294	Increased Rates of Convergence Through Learning Rate Adaptation	Robert A. Jacobs	1987	2316
295	The SimpleScalar tool set, version 2.0	Doug Burger	1997	4138
296	Organizational Memory	J. Morrison	1998	2829
297	Ant colony system: a cooperative learning approach to the traveling salesman problem	Marco Dorigo	1997	8516
298	Item-based collaborative filtering recommendation algorithms	Badrul M. Sarwar	2001	6826
299	The Universal Protein Resource (UniProt)	Amos Marc Bairoch	2004	5180
300	SPINS: security protocols for sensor networks	Adrian Perrig	2001	5209
301	How to prove yourself: practical solutions to identification and signature problems	Amos Fiat	1987	3455
302	Power-aware routing in mobile ad hoc networks	Suresh Singh	1998	2670
303	Power, politics, and MIS implementation	M. Lynne Markus	1983	2843
304	NeXt generation/dynamic spectrum access/cognitive radio wireless networks: a survey	Ian F. Akyildiz	2006	6760
305	Application of the Karhunen-Loeve procedure for the characterization of human faces	M. Kirby	1990	3316
306	The Sybil Attack	John R. Douceur	2002	5388
307	Computer self-efficacy: development of a measure and initial test	Deborah R. Compeau	1995	5836
308	Normalized cuts and image segmentation	Jianbo Shi	1997	3024
309	How to construct random functions	Oded Goldreich	1986	1423
310	Learning with Kernels: Support Vector Machines, Regularization, Optimization, and Beyond	Bernhard Schölkopf	2001	10344
311	Minimum probability of error for asynchronous Gaussian multiple-access channels	Sergio Verdu	1986	2922
312	Spatio-temporal coding for wireless communication	Gregory G. Raleigh	1998	1831
313	A Maximum Likelihood Approach to Continuous Speech Recognition	Lalit R. Bahl	1983	1171
314	Refactoring: Improving the Design of Existing Code	Martin Fowler	2002	6132
315	Information Rules: A Strategic Guide to the Network Economy	Carl Shapiro	1998	6563
316	Compression of individual sequences via variable-rate coding	Jacob Ziv	1978	4012
317	Distortion invariant object recognition in the dynamic link architecture	Martin Lades	1993	2338
318	A digital signature scheme secure against adaptive chosen-message attacks	Shafi Goldwasser	1988	2960
319	Efficient and Effective Clustering Methods for Spatial Data Mining	Raymond T. Ng	1994	2086
320	A metrics suite for object oriented design	Shyam R. Chidamber	1994	5762
321	Face recognition: A literature survey	Wenyi Zhao	2003	4432
322	Instance-Based Learning Algorithms	David W. Aha	1991	5020
323	Geodesic active contours	Vicent Caselles	1995	4033
324	Rate-constrained coder control and comparison of video coding standards	Thomas Wiegand	2003	3104
325	Dynamic Version of the Economic Lot Size Model	Harvey M. Wagner	2004	1896
326	An algorithm for planning collision-free paths among polyhedral obstacles	Tomas Lozano-Perez	1979	2474
327	Next century challenges: mobile networking for “Smart Dust”	Joseph M. Kahn	1999	2772
328	The development of Honda humanoid robot	Kazuo Hirai	1998	1607
329	Good error-correcting codes based on very sparse matrices	David J. C. MacKay	1997	5033
330	Segmentation of brain MR images through a hidden Markov random field model and the expectation-maximization algorithm	Yongyue Zhang	2001	3964
331	The Pascal Visual Object Classes (VOC) Challenge	Mark Everingham	2010	6088
332	Elastically deformable models	Demetri Terzopoulos	1987	2524
333	Universal classes of hash functions	J. Lawrence Carter	1979	2840
334	Intelligent agents: theory and practice	Michael Wooldridge	1995	8700
335	Object class recognition by unsupervised scale-invariant learning	Rob Fergus	2003	2624
336	The Cascade-Correlation Learning Architecture	Scott E. Fahlman	1990	3838
337	The cosmic cube	Charles L. Seitz	1985	1701
338	Amortized efficiency of list update and paging rules	Daniel Dominic Sleator	1985	2499
339	The UCSC genome browser database: update 2007	Robert M. Kuhn	2006	2101
340	Phoneme recognition using time-delay neural networks	Alex Waibel	1989	2424
341	Program Slicing	Mark Weiser	1984	5021
342	A study of cross-validation and bootstrap for accuracy estimation and model selection	Ron Kohavi	1995	8030
343	Fast discovery of association rules	Rakesh Agrawal	1996	3409
344	Attention, intentions, and the structure of discourse	Barbara J. Grosz	1986	3905
345	Route packets, not wires: on-chip interconnection networks	William J. Dally	2001	3368
346	Tcl and the Tk Toolkit	John K. Ousterhout	1994	3447
347	Hierarchical Model-Based Motion Estimation	James R. Bergen	1992	1344
348	Opportunistic beamforming using dumb antennas	Pramod Viswanath	2002	4103
349	Review: Knowledge management and knowledge management systems: conceptual foundations and research issues	Maryam Alavi	2001	10151
350	Fault diagnosis in dynamic systems using analytical and knowledge-based redundancy—a survey and some new results	P.M. Frank	1990	488
351	Variable-rate variable-power MQAM for fading channels	Andrea J. Goldsmith	1996	3384
352	An approach to fuzzy control of nonlinear systems: stability and design issues	Hua O. Wang	1996	2665
353	GroupLens: applying collaborative filtering to Usenet news	Joseph A. Konstan	1997	2990
354	No free lunch theorems for optimization	David H. Wolpert	1997	5652
355	A taxonomy and evaluation of dense two-frame stereo correspondence algorithms	Daniel Scharstein	2001	7077
356	Some studies in machine learning using the game of checkers	Arthur L. Samuel	1959	1921
357	Analog VLSI and neural systems	Carver A. Mead	1989	794
358	A Computing Procedure for Quantification Theory	Martin Davis	1960	2535
359	Building consumer trust online	Donna L. Hoffman	1999	2815
360	The design and use of steerable filters	William T. Freeman	1991	3686
361	Good features to track	Jianbo Shi	1994	8108
362	Active appearance models	Timothy F. Cootes	2001	4636
363	Transaction Processing: Concepts and Techniques	Jim Gray	1992	3927
364	RefSeq and LocusLink: NCBI gene-centered resources	Kim D. Pruitt	2001	795
365	Image Analysis Using Mathematical Morphology	Robert M. Haralick	1987	2699
366	Multicast routing in datagram internetworks and extended LANs	Stephen Deering	1990	1790
367	The Definition of Standard ML	Robin Milner	1990	1158
368	Free riding on Gnutella	Eytan Adar	2000	2444
369	Absolute stability of global pattern formation and parallel memory storage by competitive neural networks	Michael A. Cohen	1983	2561
370	The SPLASH-2 programs: characterization and methodological considerations	Steven Cameron Woo	1995	2823
371	The CN2 Induction Algorithm	Peter Clark	1989	2606
372	The model checker SPIN	Gerard J. Holzmann	1997	8109
373	Decoding by linear programming	Emmanuel J. Candès	2005	5227
374	A survey of image registration techniques	Lisa Gottesfeld Brown	1992	5575
375	Optimization of Control Parameters for Genetic Algorithms	John J. Grefenstette	1986	706
376	Topology control of multihop wireless networks using transmit power adjustment	Ram Ramanathan	2000	2043
377	High confidence visual recognition of persons by a test of statistical independence	John Daugman	1993	4011
378	Image coding using wavelet transform	Marc Antonini	1992	1157
